#        x              poli            horner        diferencia
  -4.000000e-01    1.237055e+04    1.237055e+04    9.765625e-04
  -3.992000e-01    1.236110e+04    1.236110e+04    0.000000e+00
  -3.984000e-01    1.235168e+04    1.235168e+04    0.000000e+00
  -3.976000e-01    1.234226e+04    1.234226e+04    0.000000e+00
  -3.968000e-01    1.233286e+04    1.233286e+04    9.765625e-04
  -3.960000e-01    1.232347e+04    1.232347e+04    0.000000e+00
  -3.952000e-01    1.231410e+04    1.231410e+04    9.765625e-04
  -3.944000e-01    1.230474e+04    1.230474e+04    0.000000e+00
  -3.936000e-01    1.229540e+04    1.229539e+04    9.765625e-04
  -3.928000e-01    1.228606e+04    1.228606e+04    0.000000e+00
  -3.920000e-01    1.227674e+04    1.227675e+04    9.765625e-04
  -3.912000e-01    1.226744e+04    1.226744e+04    9.765625e-04
  -3.904000e-01    1.225815e+04    1.225815e+04    9.765625e-04
  -3.896000e-01    1.224887e+04    1.224887e+04    9.765625e-04
  -3.888000e-01    1.223961e+04    1.223961e+04    9.765625e-04
  -3.880000e-01    1.223036e+04    1.223036e+04    9.765625e-04
  -3.872000e-01    1.222112e+04    1.222112e+04    9.765625e-04
  -3.864000e-01    1.221190e+04    1.221190e+04    0.000000e+00
  -3.856000e-01    1.220269e+04    1.220269e+04    0.000000e+00
  -3.848000e-01    1.219350e+04    1.219350e+04    0.000000e+00
  -3.840000e-01    1.218432e+04    1.218432e+04    9.765625e-04
  -3.832000e-01    1.217515e+04    1.217515e+04    9.765625e-04
  -3.824000e-01    1.216599e+04    1.216600e+04    1.953125e-03
  -3.816000e-01    1.215685e+04    1.215685e+04    0.000000e+00
  -3.808000e-01    1.214773e+04    1.214773e+04    0.000000e+00
  -3.800000e-01    1.213862e+04    1.213862e+04    9.765625e-04
  -3.792000e-01    1.212952e+04    1.212952e+04    0.000000e+00
  -3.784000e-01    1.212043e+04    1.212043e+04    1.953125e-03
  -3.776000e-01    1.211136e+04    1.211136e+04    1.953125e-03
  -3.768000e-01    1.210230e+04    1.210230e+04    9.765625e-04
  -3.760000e-01    1.209326e+04    1.209326e+04    0.000000e+00
  -3.752000e-01    1.208423e+04    1.208423e+04    9.765625e-04
  -3.744000e-01    1.207521e+04    1.207521e+04    0.000000e+00
  -3.736000e-01    1.206621e+04    1.206621e+04    9.765625e-04
  -3.728000e-01    1.205722e+04    1.205722e+04    0.000000e+00
  -3.720000e-01    1.204824e+04    1.204824e+04    0.000000e+00
  -3.712000e-01    1.203928e+04    1.203928e+04    0.000000e+00
  -3.704000e-01    1.203033e+04    1.203033e+04    9.765625e-04
  -3.696000e-01    1.202139e+04    1.202140e+04    9.765625e-04
  -3.688000e-01    1.201247e+04    1.201247e+04    9.765625e-04
  -3.680000e-01    1.200357e+04    1.200357e+04    0.000000e+00
  -3.672000e-01    1.199467e+04    1.199467e+04    0.000000e+00
  -3.664000e-01    1.198579e+04    1.198579e+04    0.000000e+00
  -3.656000e-01    1.197692e+04    1.197692e+04    9.765625e-04
  -3.648000e-01    1.196807e+04    1.196807e+04    0.000000e+00
  -3.640000e-01    1.195923e+04    1.195923e+04    0.000000e+00
  -3.632000e-01    1.195041e+04    1.195041e+04    1.953125e-03
  -3.624000e-01    1.194159e+04    1.194159e+04    9.765625e-04
  -3.616000e-01    1.193279e+04    1.193280e+04    9.765625e-04
  -3.608000e-01    1.192401e+04    1.192401e+04    9.765625e-04
  -3.600000e-01    1.191524e+04    1.191524e+04    9.765625e-04
  -3.592000e-01    1.190648e+04    1.190648e+04    0.000000e+00
  -3.584000e-01    1.189774e+04    1.189774e+04    9.765625e-04
  -3.576000e-01    1.188901e+04    1.188901e+04    0.000000e+00
  -3.568000e-01    1.188029e+04    1.188029e+04    0.000000e+00
  -3.560000e-01    1.187159e+04    1.187159e+04    0.000000e+00
  -3.552000e-01    1.186290e+04    1.186290e+04    0.000000e+00
  -3.544000e-01    1.185422e+04    1.185422e+04    0.000000e+00
  -3.536000e-01    1.184556e+04    1.184556e+04    0.000000e+00
  -3.528000e-01    1.183691e+04    1.183691e+04    9.765625e-04
  -3.520000e-01    1.182827e+04    1.182827e+04    0.000000e+00
  -3.512000e-01    1.181965e+04    1.181965e+04    1.953125e-03
  -3.504000e-01    1.181104e+04    1.181104e+04    0.000000e+00
  -3.496000e-01    1.180245e+04    1.180245e+04    9.765625e-04
  -3.488000e-01    1.179387e+04    1.179387e+04    0.000000e+00
  -3.480000e-01    1.178530e+04    1.178530e+04    9.765625e-04
  -3.472000e-01    1.177674e+04    1.177674e+04    0.000000e+00
  -3.464000e-01    1.176820e+04    1.176820e+04    0.000000e+00
  -3.456000e-01    1.175968e+04    1.175967e+04    9.765625e-04
  -3.448000e-01    1.175116e+04    1.175116e+04    9.765625e-04
  -3.440000e-01    1.174266e+04    1.174266e+04    0.000000e+00
  -3.432000e-01    1.173417e+04    1.173417e+04    0.000000e+00
  -3.424000e-01    1.172570e+04    1.172570e+04    9.765625e-04
  -3.416000e-01    1.171724e+04    1.171724e+04    0.000000e+00
  -3.408000e-01    1.170880e+04    1.170880e+04    0.000000e+00
  -3.400000e-01    1.170036e+04    1.170036e+04    0.000000e+00
  -3.392000e-01    1.169195e+04    1.169194e+04    9.765625e-04
  -3.384000e-01    1.168354e+04    1.168354e+04    0.000000e+00
  -3.376000e-01    1.167515e+04    1.167515e+04    0.000000e+00
  -3.368000e-01    1.166677e+04    1.166677e+04    9.765625e-04
  -3.360000e-01    1.165840e+04    1.165840e+04    9.765625e-04
  -3.352000e-01    1.165005e+04    1.165005e+04    0.000000e+00
  -3.344000e-01    1.164171e+04    1.164171e+04    9.765625e-04
  -3.336000e-01    1.163339e+04    1.163339e+04    9.765625e-04
  -3.328000e-01    1.162508e+04    1.162508e+04    0.000000e+00
  -3.320000e-01    1.161678e+04    1.161678e+04    0.000000e+00
  -3.312000e-01    1.160850e+04    1.160850e+04    9.765625e-04
  -3.304000e-01    1.160023e+04    1.160023e+04    0.000000e+00
  -3.296000e-01    1.159197e+04    1.159197e+04    0.000000e+00
  -3.288000e-01    1.158372e+04    1.158372e+04    0.000000e+00
  -3.280000e-01    1.157549e+04    1.157549e+04    9.765625e-04
  -3.272000e-01    1.156728e+04    1.156728e+04    0.000000e+00
  -3.264000e-01    1.155907e+04    1.155907e+04    0.000000e+00
  -3.256000e-01    1.155088e+04    1.155088e+04    0.000000e+00
  -3.248000e-01    1.154271e+04    1.154271e+04    9.765625e-04
  -3.240000e-01    1.153454e+04    1.153454e+04    9.765625e-04
  -3.232000e-01    1.152639e+04    1.152639e+04    0.000000e+00
  -3.224000e-01    1.151826e+04    1.151826e+04    0.000000e+00
  -3.216000e-01    1.151013e+04    1.151013e+04    0.000000e+00
  -3.208000e-01    1.150203e+04    1.150203e+04    0.000000e+00
  -3.200000e-01    1.149393e+04    1.149393e+04    0.000000e+00
  -3.192000e-01    1.148585e+04    1.148585e+04    1.953125e-03
  -3.184000e-01    1.147778e+04    1.147778e+04    9.765625e-04
  -3.176000e-01    1.146972e+04    1.146972e+04    0.000000e+00
  -3.168000e-01    1.146168e+04    1.146168e+04    9.765625e-04
  -3.160000e-01    1.145365e+04    1.145365e+04    9.765625e-04
  -3.152000e-01    1.144563e+04    1.144563e+04    9.765625e-04
  -3.144000e-01    1.143763e+04    1.143763e+04    0.000000e+00
  -3.136000e-01    1.142964e+04    1.142964e+04    0.000000e+00
  -3.128000e-01    1.142166e+04    1.142167e+04    1.953125e-03
  -3.120000e-01    1.141370e+04    1.141370e+04    9.765625e-04
  -3.112000e-01    1.140576e+04    1.140575e+04    1.953125e-03
  -3.104000e-01    1.139782e+04    1.139782e+04    0.000000e+00
  -3.096000e-01    1.138990e+04    1.138990e+04    0.000000e+00
  -3.088000e-01    1.138199e+04    1.138199e+04    0.000000e+00
  -3.080000e-01    1.137409e+04    1.137409e+04    0.000000e+00
  -3.072000e-01    1.136621e+04    1.136621e+04    9.765625e-04
  -3.064000e-01    1.135834e+04    1.135834e+04    9.765625e-04
  -3.056000e-01    1.135048e+04    1.135048e+04    0.000000e+00
  -3.048000e-01    1.134264e+04    1.134264e+04    0.000000e+00
  -3.040000e-01    1.133481e+04    1.133481e+04    0.000000e+00
  -3.032000e-01    1.132700e+04    1.132700e+04    9.765625e-04
  -3.024000e-01    1.131919e+04    1.131919e+04    0.000000e+00
  -3.016000e-01    1.131141e+04    1.131141e+04    0.000000e+00
  -3.008000e-01    1.130363e+04    1.130363e+04    0.000000e+00
  -3.000000e-01    1.129587e+04    1.129587e+04    0.000000e+00
  -2.992000e-01    1.128812e+04    1.128812e+04    0.000000e+00
  -2.984000e-01    1.128038e+04    1.128038e+04    0.000000e+00
  -2.976000e-01    1.127266e+04    1.127266e+04    9.765625e-04
  -2.968000e-01    1.126495e+04    1.126495e+04    9.765625e-04
  -2.960000e-01    1.125725e+04    1.125725e+04    9.765625e-04
  -2.952000e-01    1.124957e+04    1.124957e+04    0.000000e+00
  -2.944000e-01    1.124190e+04    1.124190e+04    0.000000e+00
  -2.936000e-01    1.123425e+04    1.123424e+04    1.953125e-03
  -2.928000e-01    1.122660e+04    1.122660e+04    9.765625e-04
  -2.920000e-01    1.121897e+04    1.121897e+04    0.000000e+00
  -2.912000e-01    1.121135e+04    1.121135e+04    9.765625e-04
  -2.904000e-01    1.120375e+04    1.120375e+04    9.765625e-04
  -2.896000e-01    1.119616e+04    1.119616e+04    9.765625e-04
  -2.888000e-01    1.118858e+04    1.118858e+04    0.000000e+00
  -2.880000e-01    1.118102e+04    1.118102e+04    0.000000e+00
  -2.872000e-01    1.117347e+04    1.117347e+04    1.953125e-03
  -2.864000e-01    1.116593e+04    1.116593e+04    9.765625e-04
  -2.856000e-01    1.115840e+04    1.115840e+04    0.000000e+00
  -2.848000e-01    1.115089e+04    1.115089e+04    0.000000e+00
  -2.840000e-01    1.114339e+04    1.114339e+04    0.000000e+00
  -2.832000e-01    1.113591e+04    1.113591e+04    0.000000e+00
  -2.824000e-01    1.112844e+04    1.112844e+04    9.765625e-04
  -2.816000e-01    1.112098e+04    1.112098e+04    9.765625e-04
  -2.808000e-01    1.111353e+04    1.111353e+04    0.000000e+00
  -2.800000e-01    1.110610e+04    1.110610e+04    9.765625e-04
  -2.792000e-01    1.109868e+04    1.109868e+04    0.000000e+00
  -2.784000e-01    1.109127e+04    1.109128e+04    9.765625e-04
  -2.776000e-01    1.108388e+04    1.108388e+04    9.765625e-04
