#doneu m, a, b = 
#        x              poli            horner        diferencia
   7.500000e-01    6.103516e-05    6.103516e-05    0.000000e+00
   7.505000e-01    6.047729e-05    6.037951e-05    9.778523e-08
   7.510000e-01    5.899904e-05    5.924702e-05    2.479755e-07
   7.515000e-01    5.842452e-05    5.745888e-05    9.656433e-07
   7.520000e-01    5.758407e-05    5.704165e-05    5.424226e-07
   7.525000e-01    5.688494e-05    5.739927e-05    5.143338e-07
   7.530000e-01    5.642368e-05    5.614758e-05    2.761080e-07
   7.535000e-01    5.509104e-05    5.477667e-05    3.143687e-07
   7.540000e-01    5.472289e-05    5.382299e-05    8.998977e-07
   7.545000e-01    5.357135e-05    5.418062e-05    6.092705e-07
   7.550000e-01    5.286009e-05    5.358458e-05    7.244853e-07
   7.555000e-01    5.185260e-05    5.275011e-05    8.975148e-07
   7.560000e-01    5.182521e-05    5.072355e-05    1.101656e-06
   7.565000e-01    5.139199e-05    5.125999e-05    1.320004e-07
   7.570000e-01    4.971298e-05    5.090237e-05    1.189383e-06
   7.575000e-01    4.946609e-05    4.929304e-05    1.730477e-07
   7.580000e-01    4.835448e-05    4.851818e-05    1.637054e-07
   7.585000e-01    4.779406e-05    4.756451e-05    2.295492e-07
   7.590000e-01    4.691720e-05    4.744530e-05    5.280963e-07
   7.595000e-01    4.650961e-05    4.744530e-05    9.356881e-07
   7.600000e-01    4.594260e-05    4.512072e-05    8.218813e-07
   7.605000e-01    4.457010e-05    4.541874e-05    8.486350e-07
   7.610000e-01    4.489886e-05    4.518032e-05    2.814631e-07
   7.615000e-01    4.389729e-05    4.321337e-05    6.839218e-07
   7.620000e-01    4.332113e-05    4.357100e-05    2.498637e-07
   7.625000e-01    4.240908e-05    4.231930e-05    8.978532e-08
   7.630000e-01    4.195717e-05    4.214048e-05    1.833105e-07
   7.635000e-01    4.183772e-05    4.118681e-05    6.509144e-07
   7.640000e-01    4.105729e-05    4.017353e-05    8.837596e-07
   7.645000e-01    4.006179e-05    4.011393e-05    5.213224e-08
   7.650000e-01    3.949214e-05    3.981590e-05    3.237583e-07
   7.655000e-01    3.936616e-05    3.963709e-05    2.709312e-07
   7.660000e-01    3.853111e-05    3.850460e-05    2.650631e-08
   7.665000e-01    3.761439e-05    3.707409e-05    5.403053e-07
   7.670000e-01    3.774890e-05    3.725290e-05    4.959984e-07
   7.675000e-01    3.644784e-05    3.647804e-05    3.020250e-08
   7.680000e-01    3.675053e-05    3.612041e-05    6.301198e-07
   7.685000e-01    3.570442e-05    3.594160e-05    2.371853e-07
   7.690000e-01    3.475300e-05    3.510714e-05    3.541354e-07
   7.695000e-01    3.506053e-05    3.474951e-05    3.110181e-07
   7.700000e-01    3.412685e-05    3.415346e-05    2.660818e-08
   7.705000e-01    3.413847e-05    3.403425e-05    1.042172e-07
   7.710000e-01    3.274386e-05    3.284216e-05    9.829455e-08
   7.715000e-01    3.251026e-05    3.266335e-05    1.530898e-07
   7.720000e-01    3.155399e-05    3.206730e-05    5.133043e-07
   7.725000e-01    3.159180e-05    3.093481e-05    6.569862e-07
   7.730000e-01    3.073861e-05    3.093481e-05    1.962035e-07
   7.735000e-01    3.071251e-05    3.063679e-05    7.572089e-08
   7.740000e-01    2.964177e-05    3.015995e-05    5.181755e-07
   7.745000e-01    2.936449e-05    2.974272e-05    3.782297e-07
   7.750000e-01    3.002117e-05    2.872944e-05    1.291735e-06
   7.755000e-01    2.845659e-05    2.914667e-05    6.900846e-07
   7.760000e-01    2.828287e-05    2.861023e-05    3.273581e-07
   7.765000e-01    2.734680e-05    2.712011e-05    2.266916e-07
   7.770000e-01    2.706562e-05    2.753735e-05    4.717276e-07
   7.775000e-01    2.670406e-05    2.658367e-05    1.203844e-07
   7.780000e-01    2.684342e-05    2.712011e-05    2.766974e-07
   7.785000e-01    2.676125e-05    2.664328e-05    1.179706e-07
   7.790000e-01    2.601961e-05    2.485514e-05    1.164477e-06
   7.795000e-01    2.457175e-05    2.491474e-05    3.429886e-07
   7.800000e-01    2.490450e-05    2.509356e-05    1.890512e-07
