Marca     Preu Cilindres  Consum90  Consum120  Consum.Urba  Velocitat
 2     4745000      6       9.6     12.6   15.6      180
 3     2693460      4       7.6     11.9   10.5      150
 4     4461000      4       8.7     12.3   13.3      160
 4     3413000      4       7.5     11.8   10.3      140
 4     3783000      4       7.5     11.8   10.3      140
 4     3935000      4       8.6     13.1   11.8      145
 4     4367000      4       8.6     13.1   11.8      145
 4     4561000      4       8.6     13.1   11.8      145
 4     4763000      6       9.2     13.1   16.7      170
 5     2536166      4      10.6     14.5   15.9      150
 5     2751189      4      10.6     14.5   15.9      150
 5     3250856      6      11.1     15.5   19.4      170
 5     3761075      4      10.6     14.5   15.9      150
 5     3910944      6      10.2     13.9   18.5      180
 5     3746643      4       7.1     10.5    9.8      162
 5     4755077      6      10.2     13.9   18.5      180
 5     6378525      8      10.8     14.9   19.6      180
 5     4811516      4       7.9     11.5   12.3      160
 6     2721000      4       9.3     12.5   13.5      147
 6     2821000      4       8.5     11.9   13.0      168
 7     1482372      4       8.6     12.0   10.6      137
 8     3062000      4       9.9      8.6   13.6      130
 8     3062000      4       9.9      8.6   13.6      130
 8     3255000      4       9.9      8.6   13.6      130
 8     3255000      4       9.7      9.7   14.6      125
 8     3445000      4       9.7      9.7   14.6      125
 8     3523000      4       9.7      9.7   14.6      125
 8     3781000      4       9.7      9.7   14.6      125
 8     3619000      4       6.6     10.0    8.6      146
 8     4338000      4       6.6     10.0    8.6      146
 8     4584000      4       6.6     10.0    8.6      146
 8     7932000      8      10.4     13.5   18.6      188
 8     9560000      8      11.4     14.1   22.1      196
 8     4866000      4       8.6     10.2    9.7      150
 8     7459000      6       7.5     11.2   10.9      167
 8     7932000      6       7.5     11.2   10.9      167
 9     9359360      6      13.7     18.5   17.7      175
 9     9349120      6      13.7     18.5   17.7      175
 9     1007488      6      13.7     16.9   17.7      175
 9     9684480      6      11.8     16.9   13.5      145
 9     9671680      6      11.8     16.9   13.5      145
 9     1041920      6      11.8     16.9   13.8      145
10     4539986      6      10.6     14.5   15.9      175
10     5224064      6      10.6     14.5   15.9      175
10     4747813      6      10.9     14.7   16.2      175
10     5948544      6      10.8     14.6   17.3      185
10     6733568      6      11.0     14.7   17.8      185
10     3095000      4       8.8     13.5   10.4      145
10     3767726      4       8.8     13.5   10.4      145
10     3639926      4       9.3     13.8   11.2      145
10     4675406      4       9.2     13.2   12.8      155
10     5363584      4       9.2     13.2   12.8      155
10     4332586      4       9.4     13.9   13.5      155
10     4747813      4       9.5     14.0   13.5      150
10     5993728      4       9.5     14.0   13.5      155
10     3313300      4       9.1     14.1   10.5      135
10     2884100      4       9.1     14.1   10.5      135
11     3134000      4       8.5     11.8   13.1      160
11     3634000      4       8.5     11.8   13.1      160
11     4137000      4       8.5     11.8   13.1      169
11     3738000      4       8.7     12.3   13.3      160
11     4203000      4       8.7     12.3   13.3      160
11     4587000      4       8.7     12.3   13.3      160
11     3498000      4       8.4     12.8   11.6      145
11     3808000      4       8.4     12.8   11.6      145
11     4249000      4       8.4     12.8   11.6      145
11     4005000      4       7.5     12.1   10.6      145
11     4315000      4       7.5     12.1   10.6      145
11     4699000      4       7.5     12.1   10.6      145
11     4647000      6       8.9     13.5   12.4      150
11     4849000      6       9.4     14.2   12.4      145
12     3166000      4       7.6     10.9   12.7      158
12     3219000      4       7.6     10.9   12.7      158
12     3833000      4       7.6     10.5   12.0      161
12     3886000      4       7.4     10.5   12.0      149
12     4122000      4       7.1     10.5    9.5      149
12     4866000      6       7.4     11.0    9.8      173
12     4886000      6      10.6     14.6   18.1      173
12     4886000      4      10.6     14.6   18.1      150
12     4886000      4      10.1     16.2   12.4      150
13     2832500      4       8.5     13.2   12.9      135
13     3395000      4       8.0     12.3   11.6      145
13     3995000      4       8.0     12.3   11.6      145
14     1367000      4       7.9      8.4    8.9      130
14     1455000      4       7.9      8.4    8.9      130
14     1488700      4       7.9      8.4    8.9      130
14     1587500      4       7.9      8.4    8.9      130
14     1820000      4       7.8     10.9   10.1      144
14     1926300      4       7.8     10.9   10.1      144
14     2040000      4       7.8     10.9   10.1      144
14     2238000      4       7.8     10.9   10.1      144
14     2280400      4       7.8     10.9   10.1      144
14     2343000      4       7.8     10.9   10.1      144
14     2442100      4       7.7     10.4   10.7      148
14     2629500      4       7.7     10.4   10.7      148
14     3340000      6       8.2     10.6   12.9      160
14     3630000      6       8.2     10.6   12.9      160
14     2341000      4       6.7      8.4    8.1      140
14     2472000      4       6.7      8.4    8.1      140
14     2535000      4       6.7      8.4    8.1      140
15     2075240      4       8.3      9.0   10.2      135
16     3445389      4       7.1      9.7   10.4      170
16     4258914      6      10.7     15.5   16.1      165
16     4467917      4       9.1     13.6   11.8      164
16     4793750      4       9.1     13.6   11.8      165
16     8244800      6       9.1     13.5   11.0      170
